seed,scenario,mode,centralized,projection,steps,n_agents,noise_std,C,policy_ids,violation_rate,collision_rate,mean_drift,p95_drift,mean_latency_ms
16059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['c146b39c6a0c73b098c8574bff7227b3252d015f6e82c6b777a8e2fcfa492e58', 'ecef294e7e29ff9599c29925a4b88738e4147015f42bffc1c136902b00a6e53c', 'b0376b1995f4d6ae3a537b53512086614a118b5a4dd5f5ba87f4296d5d6cdf04', '0a3458a9f0f5353244ce84daa9ef636aa8cba4062ce5d0010636e4a88061cfa8', 'db55fe58313ba2c447a1c7544dfbfc2f5f762a7a12287efc0d3c578e226baa5b']",0.83,0.0,10.208121005964019,24.98532028970156,8.86960166040808
5059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['027d37ab5f522b81a597cbac969432add19742ae2e8bfbaa23e7bc801fe43673', '8ef8467d6c8be7398e1dbfee314d2065e92eff2fd00eea6597f3e3c1b294a4b1', 'cbfcd7baa435a4aa47dcc207b5c3e4c2792d637a5587b4a438345885c3e101b1', '5e7bd1d7f6eb2b085180b6281bd2540d8deebcba9f4c9404232c1840aa9359e3', '71c3906dc0de692c5f1e574b8ffbd17ad8d7b8ae63e3d061fd0e08691d2ea106']",0.0,0.0,5.762188605474416,12.870612923621376,0.03667249620775692
10059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['0bbf03e185359acd630f447f373df910c5c297bcecd6512aabb2ec1c6ea54bbc', 'dc5e42d226ee1efcd8b1b951fcf6878bc466c2aa75e371deb41f1bf4f773ae8b', '412365cffefb95f1886e8742c80071b95867e06bc7dae26d547a1e4c8eb08ac4', 'f0a567a75be7ee073b20bab16b84e59e72a7fa4d82dce5922d7f5ab34163f82e', '8d8afeb8997734fd698da49b7be6b81280452322b392ef0a951e47fe6a4d3a1f']",1.0,0.0,0.0,0.0,0.0006937248690519482
24059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['cbf7e71792b9f2f26aa47d9e64f161f5fb01ba4082b52a8061c2d1a2317bc7ef', '591c2d77b909043d401bd7f28b0004b90afdec9e27087007754a0e26d6bd64ad', '599cab3b42c08d576f10c8e92b3d8df3ce4d1c02d2abfe0ead657ab880f837a7', '179bfd8c577b574b8176ef5a98b993329645081b78762fa6f403a9fa8bfbf93f', '5593fb07c2d89d7c946ca50f59f5577705fc86a9b3bea1f2cf074c6a3b762d3a']",1.0,0.0,0.0,0.0,0.0006597794708795846
7059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['5d14d4999c78df17e93e3d932c14820c8a56aeb6f8cd03802730b1a1ff5a1571', 'e4e1d49dd69830de22d0123ec48ee5aeb010c21fe5b22417f0efebd3b2c4adfe', '7997ec748252fe0f3f1e99be1f8a7d248cfbaa3e26c095c9b080fa193845103b', '816008cab9484501a80bed86d268df0c58967f641ab22900549512966a48db31', '522573830fed9f6555a5889e9ceb0d6ea69efe361c4b65ae1d33f2932356f7de']",0.84,0.0,15.690602410184486,36.68010704395844,10.57778562346357
8059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['12ad8219fdbd491745382cb166a442586943fb9c666290b25a6808c792ed8ab9', 'c11f848b71e473f7ed363a4de400feadb23ffc0e73152c07f5277072081197ee', 'a53bbdb397524ee8805fe25fb416129143ac63959ac1625fd445e99e6c6a0fc3', 'db47a81c579495c80d9214dead9b598c7af0f4e7b5f2f3873bd54f67d28b8ef5', '01990238bc10734b3bcc7da60636533fcca98e3f752fe0de782ed76ac006d1a0']",1.0,0.0,0.0,0.0,0.0006879038119222969
23059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['122339b81352148bf406a97c6b9657507fe9a64cb183a496e0bfe63865d1fb1f', '34b30e4daa3371f080b0651e3d339abae837fba5841de691240280d3a3faf5f8', '31f6a7bcf70cf8d495eea99afd59ddea638b550ebce6e54ecc0895e7ce40307f', '3ae5a0d5685d495b9def35f89687f1218029006df0db49eb753795a86d400905', '4e47e85f950a728ba4d8a90abfb1f2a8fdff2892461f348c05d178962d3b179e']",0.845,0.0,10.699336407772101,21.176471434412104,10.55650438007433
17059,crossing,project,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['df2a4bdad9f3e992959cd349e2a4e9188cb72b28e2b923d878834f71a0571b75', '57dd6fdc7b9da2a956d33f2ad74b53cc4d6fb0a179990615fc589624aa8ea323', 'b11871e0f7ae34d55cef4808d232d0f57d95369a5be4062796b732f4871b84b6', '942c65296532367bf1d1709620c1eee33b0b98852b0e36015dc2a503faf49425', 'ad94d17eb572e2382a4985d581c11c62d2f3d06a0f7138bf816425c19c4c095a']",0.765,0.0,8.641733750033593,15.640790115784403,9.166494190285448
4059,crossing,gate_fallback,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['d2245c47dc0d1b1f37768d893b3f0195b8cab7b733ef0dc6050014b30d58c343', 'b483048e236adf1a499923720b9cb59678539c8903086b6661252c9b7cc34264', 'a145acf5dd18eb0a514273c04096e8ac8e47f3e370bd7af2a387adf5f902ce91', 'e1043454ed9ad008896eef92e5a679c9a258e718ff50ebc1f340bf9966689950', 'dfa9cf582057c2e92b79c1b49a19aa86d26d13597ccdc2c98937734be5d94f5b']",0.0,0.0,9.86408902663241,24.3142724243779,0.03470416631898843
20059,crossing,none,True,slsqp,200,5,0.05,"{'v_max': 2.0, 'sep_min': 1.0, 'arena_radius': 20.0, 'step_dt': 0.2, 'margin': 0.0}","['21b6342fb3e14090aff8022932e15b423ef32972626b4322ab76a67566279349', 'a97212788aa74d58f65558554453d3e68df1c5baae768a2bb0fad1db50bb9440', '06c449a9ba35ea04229b857da7bb50a5f69502afbf1d276629e654a9794b4ffe', 'b71b62167cf9ab225c55b6e572d8f182e6ca3ff92e18ca343de4305598c49bfb', 'e5910674fa52fa862014a0bfe60a18af03ef8854b925d764307aecee6cb59c1e']",1.0,0.0,0.0,0.0,0.000675619812682271
